Section,Field,Description,Required,Allowed Values / Unit,Source Document,Value,Notes
Opening Position,Assessment start date,First day of the 12-month projection period,Yes,Date,Assessment mandate,,
Opening Position,Bank balance,Cash at bank on the assessment start date,Yes,Currency,Bank statement,,
Opening Position,Bank overdraft,Outstanding overdraft on the assessment start date,If applicable,Currency,Bank statement or facility letter,,
Opening Position,Opening stock,Stock at cost on the assessment start date,If stock is held,Currency,Stock count or inventory listing,,
Opening Position,Opening debtors,Customers owing the business at the start date,If applicable,Currency,Aged debtor listing,,
Opening Position,Opening creditors,Suppliers owed by the business at the start date,If applicable,Currency,Aged creditor listing,,
Opening Position,Opening fixed assets,Net book value of active business assets,If assets are held,Currency,Asset register or latest accounts,,
Sales & Working Capital,Income category,Primary Sales and each other income stream,Yes,Text,Sales records or management interview,,
Sales & Working Capital,Income type,Classification used by the application,Yes,Sales / Sundry Income / Grant / Asset Disposal / Other,Sales records,,
Sales & Working Capital,Monthly Sales M1-M12,Expected income before VAT for every month,Yes,Currency,Orders budgets or historical Sales,,
Sales & Working Capital,Sales growth rate,Expected baseline growth applied from the chosen month,No,Percentage,Management estimate,,
Sales & Working Capital,Sales growth start month,First month in which baseline growth applies,No,M1-M12,Management estimate,,
Sales & Working Capital,Cash Sales percentage,Share of Sales collected immediately,Yes,0%-100%,Sales terms and receipts history,,
Sales & Working Capital,Bad-debt rate,Expected portion of credit Sales that will not be collected,No,0%-100%,Aged debtors and write-off history,,
Sales & Working Capital,Debtor collection profile,Expected collection timing for credit Sales,If credit Sales exist,Percentage buckets,Aged debtors and customer terms,,
Sales & Working Capital,Creditor payment profile,Expected payment timing for purchases,If supplier credit exists,Percentage buckets,Aged creditors and supplier terms,,
Sales & Working Capital,Cost of Sales percentage,Fallback only where category markup or stock data is unavailable,No,0%-100%,Gross-margin history,,
Sales & Working Capital,Minimum closing stock,Target minimum stock relative to expected cost of Sales,If stock is held,0%-100%,Stock policy,,
Expenses & VAT,Monthly operating expenses M1-M12,Expected normal expenses before VAT,Yes,Currency,Invoices payroll and bank statements,,
Expenses & VAT,Expense increase rate,General cost increase applied from the chosen month,No,Percentage,Management estimate,,
Expenses & VAT,Expense increase start month,First month in which the cost increase applies,No,M1-M12,Management estimate,,
Expenses & VAT,Contingency rate,Small buffer on operating expenses,No,0%-100%,Assessment policy,,
Expenses & VAT,VAT registration status,Whether the business charges and claims VAT,Yes,Registered / Not registered,VAT registration certificate,,
Expenses & VAT,VAT rate,Default VAT rate used by the assessment,If registered,Percentage,VAT legislation or certificate,,
Expenses & VAT,VAT payment frequency,Normal filing/payment cycle,If registered,Monthly / Every two months,VAT returns,,
Expenses & VAT,Director wages,Monthly wages for all directors,If applicable,Currency,Payroll or management interview,,
Expenses & VAT,Director wage increase,Expected increase during the projection period,No,Percentage,Management estimate,,
Funding & Assets,Existing loan balance,Outstanding principal at the start date,For every active loan,Currency,Loan statement,,
Funding & Assets,Loan interest rate,Annual interest rate,For every active loan,Percentage per annum,Loan agreement,,
Funding & Assets,Loan repayment term,Remaining repayment period,For every active loan,Months,Loan agreement,,
Funding & Assets,Loan start month,First projection month affected by the loan,For every active loan,M1-M12,Loan agreement or funding plan,,
Funding & Assets,Minimum cash balance,Management reserve not intended for normal spending,No,Currency,Management policy,,
Funding & Assets,Asset cost and opening depreciation,Opening register values for each asset,For every active asset,Currency,Asset register,,
Funding & Assets,Asset acquisition month,Month a planned asset becomes available,For planned assets,M1-M12,Capital plan or quotation,,
Funding & Assets,Depreciation rate and method,Rate and method for each depreciable asset,For depreciable assets,Percentage and method,Asset policy or tax guidance,,
Confirmation,Baseline confirmed,Confirms facts and assumptions were reviewed before projections are approved,Yes,Yes / No,Assessor and business owner sign-off,,
